Store,weight,val_rmspe
698,1.004,0.07127528134662964
699,0.996,0.12676783444317022
700,0.993,0.1111905680350308
701,0.99,0.1580802325755722
702,0.99,0.12292055734163194
703,0.991,0.12492652145376118
704,1.0030000000000001,0.0900929580503213
705,0.996,0.1298110423200557
706,0.996,0.09681880427360662
707,0.999,0.11778331396241222
708,1.0070000000000001,0.11479405142709778
709,1.002,0.08326422592381762
710,0.991,0.20981159757363954
711,0.98,0.10951387464628047
712,0.995,0.10031158244997755
713,0.989,0.15476368087134734
714,0.999,0.11420391832542089
715,0.998,0.11333881693240538
716,0.991,0.12680974853088595
717,0.993,0.1257423327253747
718,0.991,0.10923375045557111
719,0.992,0.16268919467725562
720,1.0,0.08691192129630207
721,1.0,0.08723502643682698
722,0.98,0.11828606323603703
723,0.999,0.10014230018178308
724,0.993,0.11720985234401089
725,0.999,0.09271212828884536
726,1.0030000000000001,0.10061276282933913
727,1.001,0.10704468876728143
728,0.998,0.09105037170019184
729,0.999,0.11082922354175544
730,0.994,0.11810178462042044
731,0.995,0.11563170718032638
732,1.006,0.12823647266408872
733,0.996,0.05734979101190061
734,0.992,0.11574122675890387
735,0.998,0.10433730036655102
736,0.987,0.14127008356335302
737,0.996,0.18150429698793058
738,1.0,0.09321355765226925
739,0.997,0.11071788150341469
740,1.0070000000000001,0.11509720124485182
741,1.001,0.10551712497921872
742,0.998,0.09924634619379442
743,0.995,0.13253807911450477
744,1.0,0.08208498851171481
745,0.999,0.08142782507579416
746,0.996,0.11645443033273652
747,1.0,0.09852097958181767
748,0.996,0.10600877125729107
749,0.994,0.10579811359367515
750,0.987,0.13071391054658346
751,0.998,0.1505138300115439
752,0.998,0.10041038058551671
753,0.99,0.11113953027521555
754,0.995,0.09735852728026922
755,0.998,0.09581452113685726
756,0.998,0.1432745120062037
757,1.0,0.15398054036239375
758,0.995,0.10625121347070089
759,0.996,0.12843930598328138
760,1.005,0.08347398079735452
761,1.0,0.10102837197924552
762,0.998,0.12670293496806478
763,0.997,0.10311266170479673
764,0.996,0.11087564639442686
765,0.997,0.10788371911901964
766,1.0,0.09640818028257044
767,0.997,0.10654012231473167
768,1.002,0.0807272162172061
769,1.0,0.0958682882376502
770,0.983,0.14152494883586858
771,0.999,0.07927209775349116
772,1.0,0.1383471186602537
773,0.994,0.08385527537953513
774,0.999,0.07656354713845029
775,0.991,0.1035687055141831
776,0.993,0.1466088281912403
777,0.996,0.09975551235413965
778,0.998,0.0944090194247258
779,0.995,0.12024750495932028
780,0.995,0.10314234541019336
781,0.993,0.10371712171755633
782,0.98,0.41743503411034866
783,0.997,0.10448066081036918
784,0.991,0.11299626602984726
785,0.997,0.12875408146825912
786,0.986,0.11049678771448682
787,1.0,0.09344843648287568
788,0.998,0.10696526727360979
789,0.999,0.10425283209380691
790,0.996,0.11749207980538438
791,1.001,0.11002629233782657
792,0.993,0.08232569473535988
793,0.995,0.1219921723104234
794,0.998,0.1076964722293968
795,0.992,0.10627118116760795
